Catalyst,B.E.
Bi3Pt9,1.40304181
Bi9Nb3,1.253810635
Bi9W3,1.330862662
Bi3Cd9,0.649717369
Bi3Cd9,0.685284552
Bi3Cd9,0.758701138
Bi3Cd9,0.903280935
V3W9,-0.923776413
Bi9Hf3,1.500771495
Bi9Hf3,1.295576436
Ag3Bi9,0.987068051
Ga9Ru3,1.686214899
Ag3Bi9,1.44534762
Hg9Tl3,2.971457539
In9Pd3,0.79900596
In9Pd3,0.742894317
In9Pd3,0.977516447
Cu9Hf3,-1.01691581
Al9Cu3,2.480927582
Ag3Cr9,-2.404974216
Pd9Tl3,3.839816065
Bi3Ru9,-0.220511123
Bi3La9,-2.853434012
Bi3Ru9,-0.450956169
Bi3Pb9,0.668034848
Ag9Zr3,-1.843190706
Cd3Cu9,3.493727671
Bi9Pt3,1.121144798
Bi9Pt3,1.506474593
Ag9Zr3,-1.86594677
Bi9Pt3,1.075474844
Ag9Bi3,1.666370317
Bi3Cr9,-1.408807902
Bi9Pd3,1.518281612
Ag9Bi3,1.938454359
Bi3Cr9,-1.45399118
Bi9Pd3,1.117377382
Bi9Ta3,1.512227351
Ag9Bi3,1.884868205
Bi9Pd3,1.400922995
Ag9Bi3,1.71657464
Bi9Pd3,1.25075398
Bi9Cu3,1.5494513
Bi9Pb3,0.911773472
Bi9Re3,1.635479682
Bi3Pd9,1.967005632
Bi9Cu3,0.775729206
Bi9Re3,1.36224038
Bi3Pd9,1.784915214
Bi3Pd9,1.708461294
Bi9Rh3,1.567197476
Bi3Pd9,1.91709043
Bi9Rh3,1.49185827
Re9Ta3,-1.129709717
Bi9Rh3,1.127223821
Re9Ta3,-1.543007916
Bi9Rh3,1.362444194
Cd3Os9,-0.368340367
Re9Ta3,-1.635220085
Cd3Os9,-0.912015381
Re9Ta3,-1.741994698
Au3Bi9,0.816997582
Bi9Ru3,1.695447449
Au3Bi9,1.441754357
Cr9Re3,-2.148079704
Re9Zn3,-0.201771731
Bi9Ru3,1.433116103
Bi3Rh9,0.985404756
Au3Bi9,1.253815261
Cr9Re3,-2.203645894
Bi9Ru3,0.463912734
Bi3Rh9,0.781051616
Rh3W9,-2.021768814
Mo3Os9,0.266381216
Zn3Zr9,-3.448132412
Rh3W9,-2.112152242
Mo3Os9,-0.537029178
Re9Zn3,3.453672242
Zn3Zr9,-3.079790957
Rh3W9,-1.543772556
Mo3Os9,-0.493339396
Mo3Os9,-0.863524559
Mo9Tl3,-0.244374554
Hf3Hg9,-1.580230504
Al9Bi3,-1.502766361
Mo9Tl3,3.977678051
Hf3Rh9,0.146085131
Ru3Sc9,-3.846243121
Hf3Rh9,-0.520057438
Ru3Sc9,-3.924216798
In9Ir3,1.623052515
Al3Pd9,1.414901755
Cd3Cr9,-0.357852828
Cd3Cr9,3.54293769
Ag9Fe3,1.982368363
Hf9Ta3,-3.717277761
Hf9Ta3,-3.363593037
Hf9Ta3,-3.456329161
In9Tl3,0.361689361
Hf9Ta3,-3.042383059
In9Tl3,0.46118833
Hg9Sc3,-0.722479113
Ni9Y3,-0.633002096
Al9Ti3,-0.610821825
In9Nb3,1.196760608
Al9Ti3,-0.720387782
In9Nb3,0.811426732
Al9Ti3,-1.747945012
In9Nb3,-0.083699087
Al9Ti3,-1.611805914
Ag3Mo9,-1.79358721
