,B.E.,Element1,Ratio,Element2,AN,AM,G,P,R,EN,M.P.,B.P.,H_FUS,DENSITY,IE,SE,AN',AM',G',P',R',EN',M.P.',B.P.',H_FUS',DENSITY',IE',SE'
117,-2.003926037,W,3.0,Mn,74.0,183.84,6.0,6.0,1.93,1.4,3695.0,5828.0,52.3,19.3,7.86,3.23,,,,,,,,,,,,
118,-2.093937077,W,3.0,Pt,74.0,183.84,6.0,6.0,1.93,1.4,3695.0,5828.0,52.3,19.3,7.86,3.23,78.0,195.08,10.0,6.0,1.77,1.44,2042.0,4098.0,22.2,21.5,8.96,1.48
119,-0.98133679,W,3.0,Pt,74.0,183.84,6.0,6.0,1.93,1.4,3695.0,5828.0,52.3,19.3,7.86,3.23,78.0,195.08,10.0,6.0,1.77,1.44,2042.0,4098.0,22.2,21.5,8.96,1.48
120,-2.0465270909999997,W,3.0,Fe,74.0,183.84,6.0,6.0,1.93,1.4,3695.0,5828.0,52.3,19.3,7.86,3.23,26.0,55.85,8.0,4.0,1.56,1.64,1811.0,3134.0,13.8,7.87,7.9,2.45
121,-1.0673466679999999,W,3.0,Fe,74.0,183.84,6.0,6.0,1.93,1.4,3695.0,5828.0,52.3,19.3,7.86,3.23,26.0,55.85,8.0,4.0,1.56,1.64,1811.0,3134.0,13.8,7.87,7.9,2.45
122,-1.9788236719999999,W,3.0,Mn,74.0,183.84,6.0,6.0,1.93,1.4,3695.0,5828.0,52.3,19.3,7.86,3.23,,,,,,,,,,,,
123,-2.085436921,W,3.0,Pt,74.0,183.84,6.0,6.0,1.93,1.4,3695.0,5828.0,52.3,19.3,7.86,3.23,78.0,195.08,10.0,6.0,1.77,1.44,2042.0,4098.0,22.2,21.5,8.96,1.48
124,2.622270177,W,3.0,Pt,74.0,183.84,6.0,6.0,1.93,1.4,3695.0,5828.0,52.3,19.3,7.86,3.23,78.0,195.08,10.0,6.0,1.77,1.44,2042.0,4098.0,22.2,21.5,8.96,1.48
125,-2.117606083,W,3.0,Pd,74.0,183.84,6.0,6.0,1.93,1.4,3695.0,5828.0,52.3,19.3,7.86,3.23,46.0,106.42,10.0,5.0,1.69,1.35,1828.0,3236.0,16.7,12.0,8.34,1.34
126,-2.233470795,W,3.0,Pd,74.0,183.84,6.0,6.0,1.93,1.4,3695.0,5828.0,52.3,19.3,7.86,3.23,46.0,106.42,10.0,5.0,1.69,1.35,1828.0,3236.0,16.7,12.0,8.34,1.34
127,-0.9669015590000001,W,3.0,Au,74.0,183.84,6.0,6.0,1.93,1.4,3695.0,5828.0,52.3,19.3,7.86,3.23,79.0,196.97,11.0,6.0,1.74,1.42,1337.0,3129.0,12.7,19.3,9.23,0.74
128,-1.220809213,W,3.0,Cu,74.0,183.84,6.0,6.0,1.93,1.4,3695.0,5828.0,52.3,19.3,7.86,3.23,29.0,63.55,11.0,4.0,1.45,1.75,1358.0,2835.0,12.9,8.96,7.73,1.31
129,-2.065234782,W,3.0,Cu,74.0,183.84,6.0,6.0,1.93,1.4,3695.0,5828.0,52.3,19.3,7.86,3.23,29.0,63.55,11.0,4.0,1.45,1.75,1358.0,2835.0,12.9,8.96,7.73,1.31
130,-2.088695757,W,3.0,Cu,74.0,183.84,6.0,6.0,1.93,1.4,3695.0,5828.0,52.3,19.3,7.86,3.23,29.0,63.55,11.0,4.0,1.45,1.75,1358.0,2835.0,12.9,8.96,7.73,1.31
131,-0.617143165,W,3.0,Cd,74.0,183.84,6.0,6.0,1.93,1.4,3695.0,5828.0,52.3,19.3,7.86,3.23,48.0,112.41,12.0,5.0,1.61,1.46,594.0,1040.0,6.2,8.69,8.99,0.2
